Prix($),Marque,Modèle,Classe,Portes,Longueur(cm),Hauteur(cm),Largeur(cm),Empattement(cm),Moteur(cm³),Poids(t),Carburant,ConsommationVille(L/100km),ConsommationAutoroute(L/100km),PositionMoteur,Transmission,Chevaux,Régime(tr/min),Turbo,Cylindres,Injecteur,TypeMoteur,Alésage(mm),Piston(cm),TauxCompression,CoteRisque
13495.0,Alfa-Romeo,Giulia,Cabriolet,3,429,124,163,225,2130,1.156,Essence,0.089,0.115,Avant,Propulsion arrière,111,5000,False,4,MPFI,DOHC,88,7,9.0,3
16500.0,Alfa-Romeo,Stelvio,Cabriolet,3,429,124,163,225,2130,1.156,Essence,0.089,0.115,Avant,Propulsion arrière,111,5000,False,4,MPFI,DOHC,88,7,9.0,3
16500.0,Alfa-Romeo,Quadrifoglio,Hayon,3,435,133,166,240,2491,1.28,Essence,0.081,0.111,Avant,Propulsion arrière,154,5000,False,6,MPFI,OHCV,68,9,9.0,1
13950.0,Audi,100Ls,Berline,5,449,138,168,253,1786,1.06,Essence,0.102,0.128,Avant,Traction avant,102,5500,False,4,MPFI,OHC,81,9,10.0,2
17450.0,Audi,100Ls,Berline,5,449,138,169,252,2229,1.281,Essence,0.077,0.094,Avant,Quatre roues motrices,115,5500,False,5,MPFI,OHC,81,9,8.0,2
15250.0,Audi,Fox,Berline,3,450,135,168,253,2229,1.137,Essence,0.081,0.106,Avant,Traction avant,110,5500,False,5,MPFI,OHC,81,9,8.5,2
17710.0,Audi,100Ls,Berline,5,489,141,181,269,2229,1.29,Essence,0.081,0.106,Avant,Traction avant,110,5500,False,5,MPFI,OHC,81,9,8.5,1
18920.0,Audi,5000,Break,5,489,141,181,269,2229,1.34,Essence,0.081,0.106,Avant,Traction avant,110,5500,False,5,MPFI,OHC,81,9,8.5,1
23875.0,Audi,4000,Berline,5,489,142,181,269,2147,1.4,Essence,0.072,0.085,Avant,Traction avant,140,5500,True,5,MPFI,OHC,80,9,8.3,1
17859.167,Audi,5000S (Diesel),Hayon,3,453,132,172,253,2147,1.385,Essence,0.068,0.094,Avant,Quatre roues motrices,160,5500,True,5,MPFI,OHC,80,9,7.0,0
16430.0,BMW,320I,Berline,3,449,138,165,257,1770,1.086,Essence,0.098,0.123,Avant,Propulsion arrière,101,5800,False,4,MPFI,OHC,89,7,8.8,2
16925.0,BMW,320I,Berline,5,449,138,165,257,1770,1.086,Essence,0.098,0.123,Avant,Propulsion arrière,101,5800,False,4,MPFI,OHC,89,7,8.8,0
20970.0,BMW,X1,Berline,3,449,138,165,257,2687,1.229,Essence,0.089,0.119,Avant,Propulsion arrière,121,4250,False,6,MPFI,OHC,84,8,9.0,0
21105.0,BMW,X3,Berline,5,449,138,165,257,2687,1.254,Essence,0.089,0.119,Avant,Propulsion arrière,121,4250,False,6,MPFI,OHC,84,8,9.0,0
24565.0,BMW,Z4,Berline,5,480,141,170,263,2687,1.386,Essence,0.085,0.106,Avant,Propulsion arrière,121,4250,False,6,MPFI,OHC,84,8,9.0,1
30760.0,BMW,X4,Berline,5,480,141,170,263,3425,1.465,Essence,0.068,0.094,Avant,Propulsion arrière,182,5400,False,6,MPFI,OHC,92,9,8.0,0
41315.0,BMW,X5,Berline,3,492,136,172,263,3425,1.533,Essence,0.068,0.094,Avant,Propulsion arrière,182,5400,False,6,MPFI,OHC,92,9,8.0,0
36880.0,BMW,X3,Berline,5,500,143,180,279,3425,1.59,Essence,0.064,0.085,Avant,Propulsion arrière,182,5400,False,6,MPFI,OHC,92,9,8.0,0
5151.0,Chevrolet,Impala,Hayon,3,358,135,153,225,1000,0.675,Essence,0.2,0.225,Avant,Traction avant,48,5100,False,3,2BBL,L,74,8,9.5,2
6295.0,Chevrolet,Monte Carlo,Hayon,3,396,132,162,240,1475,0.85,Essence,0.162,0.183,Avant,Traction avant,70,5400,False,4,2BBL,OHC,77,8,9.6,1
6575.0,Chevrolet,Vega 2300,Berline,5,403,132,162,240,1475,0.866,Essence,0.162,0.183,Avant,Traction avant,70,5400,False,4,2BBL,OHC,77,8,9.6,0
5572.0,Dodge,Rampage,Hayon,3,400,129,162,238,1475,0.851,Essence,0.157,0.174,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.41,1
6377.0,Dodge,Challenger Se,Hayon,3,400,129,162,238,1475,0.851,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
7957.0,Dodge,D200,Hayon,3,400,129,162,238,1606,0.965,Essence,0.102,0.128,Avant,Traction avant,102,5500,True,4,MPFI,OHC,77,9,7.6,1
6229.0,Dodge,Monaco (Sw),Hayon,5,400,129,162,238,1475,0.892,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
6692.0,Dodge,Colt Hardtop,Berline,5,400,129,162,238,1475,0.902,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
7609.0,Dodge,Colt (Sw),Berline,5,400,129,162,238,1475,0.902,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
8558.0,Dodge,Coronet Custom,Berline,3,400,129,162,238,1606,0.994,Essence,0.102,0.128,Avant,Traction avant,102,5500,True,4,MPFI,OHC,77,9,7.6,1
8921.0,Dodge,Dart Custom,Break,5,443,152,164,262,1999,1.15,Essence,0.102,0.128,Avant,Traction avant,88,5000,False,4,2BBL,OHC,85,9,8.5,-1
12964.0,Dodge,Coronet Custom (Sw),Hayon,3,440,128,168,244,2556,1.275,Essence,0.081,0.102,Avant,Traction avant,145,5000,True,4,MFI,OHC,91,10,7.0,3
6479.0,Honda,Civic,Hayon,3,367,129,162,220,1508,0.777,Essence,0.208,0.23,Avant,Traction avant,58,4800,False,4,1BBL,OHC,74,9,9.6,2
6855.0,Honda,Civic Cvcc,Hayon,3,367,129,162,220,1508,0.825,Essence,0.132,0.162,Avant,Traction avant,76,6000,False,4,1BBL,OHC,74,9,9.2,2
5399.0,Honda,Civic,Hayon,3,381,134,163,238,1295,0.833,Essence,0.162,0.179,Avant,Traction avant,60,5500,False,4,1BBL,OHC,74,8,10.1,1
6529.0,Honda,Accord Cvcc,Hayon,3,381,134,163,238,1508,0.88,Essence,0.128,0.145,Avant,Traction avant,76,6000,False,4,1BBL,OHC,74,9,9.2,1
7129.0,Honda,Civic Cvcc,Hayon,3,381,134,163,238,1508,0.887,Essence,0.128,0.145,Avant,Traction avant,76,6000,False,4,1BBL,OHC,74,9,9.2,1
7295.0,Honda,Accord Lx,Berline,5,415,138,163,245,1508,0.912,Essence,0.128,0.145,Avant,Traction avant,76,6000,False,4,1BBL,OHC,74,9,9.2,0
7295.0,Honda,Civic 1500 Gl,Break,5,399,148,162,245,1508,0.918,Essence,0.128,0.145,Avant,Traction avant,76,6000,False,4,1BBL,OHC,74,9,9.2,0
